ID,ProductName,DiscountPrice,PPrice,Date
1,Rupchanda Soyabean Oil (Free 500 gm Chinigura Rice),0,550,10/28/2018
2,Danish Lexus Vegetable Crackers (Buy 2 Get 1 Free),0,200,10/28/2018
3,Trix Dishwashing Liquid Double Pack,70,80,10/28/2018
4,Quaker Oats Poly (Jar Free Offer),0,265,10/28/2018
5,RokSol Tiles & Bathroom Cleaner (Buy 1 Get 1 Offer),0,80,10/28/2018
6,Harpic Toilet & Bathroom Solution Combo,175,195,10/28/2018
7,Harpic Toilet & Bathroom Solution Combo,0,195,10/28/2018
8,SunnyDay Active Regular Flow Sanitary Napkins (Buy 1 Get 1 Free),124,130,10/28/2018
9,Cinthol Soap Bundle Pack Offer,99,114,10/28/2018
10,Rok Glasso Glass Cleaner (Free Rok Lemon Fresh Dish Wash 500 ml),0,115,10/28/2018
11,Kumarika Soap (Buy 2 Get 1 Free),0,70,10/28/2018
12,Stella Room Freshener Exclusive Offer,0,200,10/28/2018
13,Harpic Toilet & Lizol Citrus Double Surokkha Offer,225,245,10/28/2018
14,Harpic Toilet & Lizol Citrus Double Surokkha Offer,0,245,10/28/2018
15,TAT Penne Rigate,103,140,10/28/2018
16,Orkide Sunflower Oil Offer,1030,1230,10/28/2018
17,Lux Soap Iconic Iris Value Pack,129,144,10/28/2018
18,Dettol Soap Family Pack,98,108,10/28/2018
19,Aer Room Freshener & 2 Aer Pocket Combo,280,318,10/28/2018
20,Aer Room Freshener & 2 Aer Pocket Combo,0,318,10/28/2018
21,Magnolia Garden Fresh Tea (1 pcs Spoon Free),0,215,10/28/2018
22,Godrej Good Knight Xpress Liquid Vapouriser Machine & Refill,200,225,10/28/2018
23,Avonee Maxi 4 Baby Diaper (Belt) L (7-18 kg) (Free 120 pcs Pozzy Wet Wipes) (BD),1083,1360,10/28/2018
24,Nutrilife Apple Juice (Buy 1 Get 1 Free),293,300,10/28/2018
25,Surf Excel Washing Powder Value Pack,300,330,10/28/2018
26,Oranjee Houseful Offer 1 Case,400,600,10/28/2018
27,Wow Instant Chicken Masala Noodles (Free Wow Tiffin Box) 8 Pack,0,125,10/28/2018
28,Godrej Fairglow Soap Festive Bundle,96,112,10/28/2018
29,Miracle+ Toothpowder (Free Meshwak),0,35,10/28/2018
30,Sunvital Premium Apple Juice (Buy 1 Get 1),95,190,10/28/2018
31,ProdentalB Fresh Mint Cavity Protection Toothpaste 175 gm & Floss Stick Combo Offer (Free 1 pcs ProDentalB Ultra Tooth Brush),193,249,10/28/2018
32,ProdentalB Fresh Mint Cavity Protection Toothpaste 175 gm & Floss Stick Combo Offer (Free 1 pcs ProDentalB Ultra Tooth Brush),0,249,10/28/2018
33,Doraemon Party Snow Spray (Buy 1 Get 1 Free Offer) 1 oz,0,99,10/28/2018
34,Sundrop Peanut Butter Crunchy (70 gm Popcorn Free),384,390,10/28/2018
35,BPM Chola Boot (Free 250 gm Booter Beshon),0,200,10/28/2018
36,Alex Aqua Sense Air Freshener (Floral Anti Tobacco),275,350,10/28/2018
37,Kidz Baby Belt Diaper L (9-13 kg) (China),578,700,10/28/2018
38,Suito Calorie & Fat Free Sweetener (Free 20 pcs) Tablets 100,0,135,10/28/2018
39,Anmol Dawat Offer,300,335,10/28/2018
40,Anmol Dawat Offer,0,335,10/28/2018
41,Dove Shampoo Oxygen Moisture Combo Pack,430,480,10/28/2018
42,Dove Shampoo Hairfall Rescue Combo Pack,390,440,10/28/2018
43,Dettol Cool Hand Hygiene Pack,200,225,10/28/2018
44,Dettol Cool Hand Hygiene Pack,0,225,10/28/2018
45,Axe Body Perfume Signature Intense Value Pack,660,760,10/28/2018
46,Veet Sensitive Touch Electric Trimmer,1650,2350,10/28/2018
47,Lacnor Essentials Mango Fruit Drink (Free UHT Skimmed Milk 1 ltr),0,380,10/28/2018
48,Dove Shampoo Intense Repair Combo Pack,390,440,10/28/2018
49,Party Popper (No Fire Work) China 1 pcs (Free 1 Pack Candles),0,120,10/28/2018
50,Biotique Natural Saj Offer,279,310,10/28/2018
51,Biotique Natural Saj Offer,0,310,10/28/2018
52,CBL Munchee Ginger Biscuits (Buy 1 Get 1 Free),21,40,10/28/2018
53,Adoro Max 5 (Free Adoro Shaving Foam) Razor,465,550,10/28/2018
54,Axe Body Perfume Signature Value Pack Suave,660,760,10/28/2018
