ID,ProductName,Price,Date
1,Beef Bone In Premium,499,10/10/2018
2,Banana (Sagor) [1 Pc],10,10/10/2018
3,Indian Onion: Bulk Regular,14.5,10/10/2018
4,KAZI FARMS ORIGINAL CHICKEN NUGGETS 250G,160,10/10/2018
5,CYPRINA APPLE JUICE 1LTR,350,10/10/2018
6,Pran UHT Milk (500ML),45,10/10/2018
7,Diploma Milk Powder (500gm),300,10/10/2018
8,Marks Milk Powder Poly: 500 gm.,250,10/10/2018
9,Coca Cola Pet 1.25 Ltr.,65,10/10/2018
10,Fanta Orange (600ML),35,10/10/2018
11,7UP (250ML),18,10/10/2018
12,Coca Cola (2 Litres),110,10/10/2018
13,Sprite (2 Litres),110,10/10/2018
14,ISPAHANI MIRZAPUR BEST LEAF TEA 400GM,180,10/10/2018
15,SMART HEART CHICKEN & TUNA ADULT CAT FOOD 480G,270,10/10/2018
16,SMART HEART ADULT DOG FOOD R BEEF 500G,199,10/10/2018
17,ACI Pure Atta (2KG),66,10/10/2018
18,Ifad Maida (1KG),48,10/10/2018
19,PRAN CHINIGURA RICE PACK 1KG,115,10/10/2018
20,Sugar (Bulk),52,10/10/2018
21,Teer Sugar Pack: 1 Kg,58,10/10/2018
22,Saffola Active Edible Oil 5 Ltr Buy 1 Get 1 Saffola Active Edible Oil 1Ltr Free,799,10/10/2018
23,NOCILLA GLASS JAR 200GM,250,10/10/2018
24,BENSON & HEDGES BLUE GOLD PACK,220,10/10/2018
25,BENSON & HEDGES SWITCH 20S PACK,220,10/10/2018
26,Gillette Series Gel Moisturizing 195 gm.,335,10/10/2018
27,Pampers Baby Dry Pants L 9-14 Kg 20 pcs,750,10/10/2018
28,Aarong Sour Curd (500ML),75,10/10/2018
29,Dekko Black & Brown Cookies 95 gm,100,10/10/2018
30,Head & Shoulders Cool Menthol Shampoo 480 mL.,499,10/10/2018
31,Head & Shoulders Smooth & Silky Shampoo 480 mL.,425,10/10/2018
32,MEENA FARM FRESH EGG 12PCS,130,10/10/2018
33,Finis Ozol All Purpose Cleaner 500 mL.,110,10/10/2018
34,Gillette Promo Combo (Fusion Razor+Sensitive Gel),960,10/10/2018
35,Beef Bone In Premium,499,2018-10-11
36,Banana (Sagor) [1 Pc],10,2018-10-11
37,Indian Onion: Bulk Regular,14.5,2018-10-11
38,KAZI FARMS ORIGINAL CHICKEN NUGGETS 250G,160,2018-10-11
39,CYPRINA APPLE JUICE 1LTR,350,2018-10-11
40,Pran UHT Milk (500ML),45,2018-10-11
41,Diploma Milk Powder (500gm),300,2018-10-11
42,Marks Milk Powder Poly: 500 gm.,250,2018-10-11
43,Coca Cola Pet 1.25 Ltr.,65,2018-10-11
44,Fanta Orange (600ML),35,2018-10-11
45,7UP (250ML),18,2018-10-11
46,Coca Cola (2 Litres),110,2018-10-11
47,Sprite (2 Litres),110,2018-10-11
48,ISPAHANI MIRZAPUR BEST LEAF TEA 400GM,180,2018-10-11
49,SMART HEART CHICKEN & TUNA ADULT CAT FOOD 480G,270,2018-10-11
50,SMART HEART ADULT DOG FOOD R BEEF 500G,199,2018-10-11
51,ACI Pure Atta (2KG),66,2018-10-11
52,Ifad Maida (1KG),48,2018-10-11
53,PRAN CHINIGURA RICE PACK 1KG,115,2018-10-11
54,Sugar (Bulk),52,2018-10-11
55,Teer Sugar Pack: 1 Kg,58,2018-10-11
56,Saffola Active Edible Oil 5 Ltr Buy 1 Get 1 Saffola Active Edible Oil 1Ltr Free,799,2018-10-11
57,NOCILLA GLASS JAR 200GM,250,2018-10-11
58,BENSON & HEDGES BLUE GOLD PACK,220,2018-10-11
59,BENSON & HEDGES SWITCH 20S PACK,220,2018-10-11
60,Gillette Series Gel Moisturizing 195 gm.,335,2018-10-11
61,Pampers Baby Dry Pants L 9-14 Kg 20 pcs,750,2018-10-11
62,Aarong Sour Curd (500ML),75,2018-10-11
63,Dekko Black & Brown Cookies 95 gm,100,2018-10-11
64,Head & Shoulders Cool Menthol Shampoo 480 mL.,499,2018-10-11
65,Head & Shoulders Smooth & Silky Shampoo 480 mL.,425,2018-10-11
66,MEENA FARM FRESH EGG 12PCS,130,2018-10-11
67,Finis Ozol All Purpose Cleaner 500 mL.,110,2018-10-11
68,Gillette Promo Combo (Fusion Razor+Sensitive Gel),960,2018-10-11
